List of importing markets for a product exported by Sudan (North + South) Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	
World	1,811,881	2,008,042	2,480,415	3,612,004	4,505,813	5,478,706		9,500,949	9,079,520	11,529,255	8,981,723	
Afghanistan	0	0	0	0	0	0		21	0	75	60	
Albania	0	0	0	0	0	0		0	28	0	0	
Algeria	133	376	404	805	1,068	1,495		490	859	383	1,366	
Andorra	0	0	0	0	0	0		0	16	0	0	
Angola	0	0	0	0	0	0		861	1	0	0	
Anguilla	0	0	0	0	0	0		0	0	0	2	
Antigua and Barbuda	0	0	0	0	0	0		0	0	0	0	
Area Nes	1,586	400,461	0	0	0	0		2,223	3,125	75,070	102,651	
Argentina	0	0	0	0	0	0		109	0	0	111	
Armenia	0	0	0	0	0	0		0	0	0	3	
Aruba	0	42	4	0	0	0		19,933	17,697	8,351	15,467	
Australia	0	0	21	33	0	2		4	4	0	93	
Austria	2	1	0	2	0	0		0	0	64	0	
Azerbaijan	0	0	0	0	0	0		0	0	0	0	
Bahamas	0	0	0	0	0	0		0	0	0	0	
Bahrain	258	34	53	37	266	386		15	8	9	151	
Bangladesh	5,785	8,373	15,895	13,512	17,997	12,068		11,115	4,142	8,064	1,744	
Barbados	0	0	0	0	0	0		0	0	0	0	
Belarus	0	0	0	0	0	0		0	0	0	0	
Belgium	1,800	5,313	6,579	9,834	6,330	2,161		2,226	639	951	1,946	
Belize	0	0	0	0	0	0		0	0	0	0	
Benin	0	0	0	0	0	0		0	45	88	0	
Bermuda	0	0	0	0	0	0		0	0	0	0	
Bhutan	0	0	0	0	0	0		0	0	0	0	
Bolivia	0	0	0	0	0	0		0	0	0	0	
Bosnia and Herzegovina	0	0	0	0	0	0		0	0	0	0	
Botswana	0	0	0	0	0	0		0	0	0	0	
Brazil	73	0	84	0	0	0		0	9,025	126	16	
British Indian Ocean Territories	0	0	0	0	0	0		0	0	0	0	
British Virgin Islands	0	0	0	0	0	0		0	36	190	0	
Brunei Darussalam	0	0	0	0	0	0		0	0	0	0	
Bulgaria	526	112	1,163	1,625	905	936		7	76	29	0	
Burkina Faso	0	0	0	0	0	0		0	0	0	0	
Burundi	0	0	0	0	0	0		91	0	0	0	
Cabo Verde	0	0	0	0	0	0		0	0	0	0	
Cambodia	0	0	18	0	0	0		189	0	0	0	
Cameroon	0	50	0	0	0	0		120	0	0	0	
Canada	1	57	72	7,574	56,278	66,845		56	802,142	51,659	56,565	
Cayman Islands	0	0	0	0	0	0		0	0	0	0	
Central African Republic	1	342	0	0	0	0		0	11	40	150	
Chad	7	138	2	0	37	131		0	2	0	3	
Chile	0	0	0	0	0	0		0	1	1	0	
China	1,053,995	940,213	1,616,074	2,319,408	3,323,849	4,324,284		7,553,536	5,932,248	8,302,375	6,323,168	
Christmas Islands	0	0	0	0	0	0		0	67	0	0	
Cocos (Keeling) Islands	0	0	0	0	0	0		0	0	0	0	
Colombia	0	49	24	0	0	0		0	17	0	0	
Comoros	0	0	0	0	0	0		0	0	0	0	
Congo	0	0	0	0	0	0		10	0	0	0	
Costa Rica	0	0	23	0	0	0		0	0	0	0	
Côte d'Ivoire	0	0	0	0	0	0		0	149	0	0	
