List of importing markets for a product exported by Cuba Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	
World	1,664,827	1,421,666	1,676,913	2,332,101	2,318,592	2,980,152	
Afghanistan	0	0	0	0	0	0	
Africa not elsewhere specified	0	0	0	0	702	189	
Albania	0	0	35	19	24	0	
Algeria	1,269	9,001	6,100	2,806	1,374	1,757	
Andorra	2	0	1,567	2,970	4,253	2,263	
Angola	99	114	80	77	907	1,491	
Anguilla	0	0	6	0	0	0	
Antigua and Barbuda	7	0	0	236	0	305	
Area Nes	4,714	8,448	2,744	1,363	0	1,870,841	
Argentina	2,631	658	858	1,393	2,733	4,453	
Armenia	0	0	0	0	0	0	
Aruba	312	385	446	483	102	2	
Australia	591	1,883	945	447	1,672	2,825	
Austria	143	177	893	395	1,394	1,648	
Azerbaijan	3	0	0	46	72	0	
Bahamas	2,745	1,383	5,230	2,924	3,264	3,155	
Bahrain	0	1	0	0	0	0	
Bangladesh	0	0	0	0	0	152	
Barbados	81	115	263	593	856	1	
Belarus	1	3,234	7,201	19,572	114	83	
Belgium	13,146	6,432	9,620	20,163	14,141	6,595	
Belize	1,399	949	1,037	119	29	290	
Benin	0	0	0	0	0	0	
Bermuda	470	759	756	1,248	1,767	850	
Bolivia	689	507	342	229	615	47,399	
Bosnia and Herzegovina	0	0	0	0	0	0	
Botswana	0	2	0	0	0	0	
Brazil	8,271	6,962	20,253	46,772	42,949	23,022	
British Virgin Islands	88	499	13	528	57	627	
Brunei Darussalam	0	0	0	0	0	0	
Bulgaria	120	4,481	4,452	5,313	280	265	
Cabo Verde	0	0	0	0	11	0	
Cambodia	9	2	184	0	0	0	
Cameroon	0	0	0	0	0	0	
Canada	228,250	203,202	266,762	486,794	471,413	19,855	
Cayman Islands	1,722	1,960	2,990	2,345	2,459	2,287	
Central African Republic	0	0	0	0	0	0	
Chad	0	0	0	0	0	0	
Chile	2,051	1,031	967	943	472	211	
China	70,787	74,606	77,336	80,150	113,314	22,853	
Colombia	12,846	3,825	5,606	5,415	6,137	7,694	
Congo	7	49	20	0	0	0	
Costa Rica	1,949	3,267	6,581	9,941	11,126	3,122	
Côte d'Ivoire	0	0	0	0	0	0	
Croatia	0	0	44	85	193	184	
Cyprus	9,477	4,197	7,090	8,845	24,205	26,974	
Czech Republic	101	60	2	176	702	1,178	
Democratic Republic of the Congo	15	0	1	0	0	0	
Denmark	426	239	2,871	1,302	616	772	
Djibouti	0	0	0	0	0	0	
Dominica	11	0	0	39	254	282	
Dominican Republic	30,786	35,089	31,099	26,421	43,655	29,579	
Ecuador	550	657	304	149	266	4,949	
Egypt	1,360	0	3,725	18	3	0	
El Salvador	242	182	133	843	417	484	
Equatorial Guinea	0	0	0	13	52	0	
Eritrea	0	0	0	0	0	0	
Estonia	121	287	1,172	2,188	5,474	6,700	
Ethiopia	0	182	0	0	7	0	
Fiji	0	0	0	0	0	0	
Finland	189	261	655	6,609	249	383	
France	63,106	52,369	41,397	39,268	57,348	45,977	
Free Zones	0	0	0	0	3	3	
French Polynesia	0	0	0	0	0	0	
Gabon	0	0	0	0	0	0	
Gambia	5	20	21	14	87	0	
Georgia	0	0	4,806	68	0	0	
Germany	20,739	14,574	20,966	21,084	18,833	19,880	
Ghana	153	0	38	81	12	83	
Gibraltar	0	0	12,005	0	0	0	
Greece	28	77	1,667	910	111	70	
Grenada	132	149	277	204	7	375	
Guatemala	4,874	3,617	5,979	5,037	4,236	3,703	
Guinea	0	0	0	0	0	0	
Guinea-Bissau	0	0	0	0	8	83	
Guyana	140	60	1,030	107	182	1,255	
Haiti	12,063	15,351	11,670	12,495	15,306	13,147	
Honduras	4,059	1,556	3,628	2,541	3,901	10,283	
Hong Kong, China	5,508	5,893	6,950	10,078	10,709	11,581	
Hungary	4	0	10	30	1	1	
Iceland	0	1	415	0	0	0	
India	1,548	1,717	4,467	1,111	659	1,290	
Indonesia	5	0	0	0	22	5,307	
Iran (Islamic Republic of)	10,422	38,639	8,568	4,845	2,512	2,128	
Iraq	0	0	0	0	0	0	
Ireland	50	849	0	52	35	35	
Israel	113	119	228	1,090	2,474	1,545	
Italy	10,215	10,716	12,694	12,867	11,153	15,232	
Jamaica	6,095	4,725	6,977	4,880	4,727	3,861	
Japan	28,881	26,752	15,975	25,931	13,437	7,603	
