List of importing markets for a product exported by Mali Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	712,873	852,177	1,007,432	987,483	1,075,107	1,526,125	1,440,625	1,918,264		1,996,261	2,374,497	2,610,387	
Afghanistan	0	29	0	0	1	0	0	0		0	0	2	
Albania	0	0	0	0	0	0	0	82		741	52	0	
Algeria	808	222	1,621	1,219	374	1,674	1,959	2,398		3,113	11,571	1,852	
America not elsewhere specified	0	0	9	0	0	0	0	0		0	0	0	
Andorra	0	0	0	0	0	0	1	0		205	110	30	
Angola	9	160	68	140	2	0	4	0		0	6	6	
Antigua and Barbuda	0	0	0	0	0	0	0	0		0	0	0	
Area Nes	9	0	0	0	682	196	80	0		1,077	0	0	
Argentina	0	0	0	19	0	0	0	27		0	0	16	
Armenia	0	0	0	0	0	0	0	0		0	1	0	
Australia	72	176	5	7	298	717	3	0		430	147	732	
Austria	14	4	1	4	0	7	37	172		0	0	59	
Azerbaijan	0	0	0	0	0	0	0	0		14	0	0	
Bahrain	0	0	8	5,356	8,014	2,145	0	0		288	95	1,597	
Bangladesh	0	1,392	4,310	20,184	21,449	12,446	11,830	5,240		16,092	9,450	10,195	
Barbados	0	0	0	0	0	0	0	0		0	0	0	
Belarus	0	0	0	0	0	0	0	0		0	0	0	
Belgium	4,566	10,209	21,030	8,889	3,840	4,689	30,443	6,363		7,039	13,152	6,546	
Belize	0	0	0	0	0	0	0	0		0	0	110	
Benin	65	501	1,919	535	5,562	1,779	1,460	14,619		5,412	16,649	3,889	
Bermuda	0	0	0	0	0	0	0	0		0	0	0	
Bhutan	0	0	0	0	0	0	0	0		0	0	0	
Bolivia	0	0	0	0	0	0	0	0		0	0	0	
Bosnia and Herzegovina	0	0	0	0	0	0	0	0		0	0	0	
Botswana	0	0	0	0	325	0	0	0		0	0	0	
Brazil	2,381	877	0	733	924	11,874	6,040	1,068		53	282	308	
British Indian Ocean Territories	0	0	0	0	0	0	0	0		0	0	0	
Brunei Darussalam	0	0	0	0	6	0	0	34		0	21	0	
Bulgaria	0	0	0	16	0	10	2	0		33	3	7	
Burkina Faso	4,906	7,582	7,773	4,708	2,643	11,968	10,918	18,463		43,139	99,329	92,943	
Burundi	0	0	1	1	0	0	0	2		0	0	1	
Cabo Verde	0	0	0	0	0	0	0	0		0	0	0	
Cambodia	0	0	0	0	0	0	0	0		0	0	0	
Cameroon	49	11	0	600	154	227	1,308	24		15	11	54	
Canada	1,625	1,028	237	657	252	224	158	2,029		1,461	4,507	1,304	
Cayman Islands	0	0	0	0	0	0	0	0		0	0	0	
Central African Republic	0	0	0	0	0	31	0	0		4	0	2	
Chad	78	33	2	410	23	69	86	490		31	21	0	
Chile	0	0	2	61	0	0	0	0		120	0	0	
China	197	1,942	12,249	46,950	62,392	94,505	32,054	35,449		40,814	86,132	203,025	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	0		0	0	0	
Colombia	1	0	0	0	279	0	0	3		0	0	0	
Comoros	0	0	0	0	0	0	125	0		0	0	0	
Congo	30	0	33	14	97	25	222	57		9	33	1	
Costa Rica	0	0	0	0	0	0	0	0		0	0	0	
Côte d'Ivoire	61,786	26,224	22,903	46,426	13,973	18,843	35,978	49,140		39,880	80,616	113,370	
Croatia	0	1	0	0	0	0	0	0		0	0	0	
Cuba	16	0	1	0	79	0	0	147		198	2	0	
Cyprus	0	0	0	0	0	0	0	0		0	0	0	
Czech Republic	2	0	3	0	0	1	0	0		59	5	24	
Democratic Republic of the Congo	5	0	1	16	0	0	0	0		8	40	35	
Denmark	293	201	45	252	92	28	431	1,015		54	157	6	
Djibouti	0	6	0	0	0	0	0	0		0	32	0	
Dominica	0	0	0	0	0	0	0	0		0	0	0	
Dominican Republic	0	0	0	0	0	0	0	0		0	0	0	
Ecuador	0	0	0	0	0	0	0	0		0	0	0	
Egypt	0	11	0	9	0	29	1	12		163	23	353	
El Salvador	0	0	0	0	10	0	0	0		81	0	0	
Equatorial Guinea	0	0	0	0	0	0	0	0		11	2	136	
Estonia	104	412	0	0	0	0	0	0		0	160	0	
Ethiopia	7	0	42	0	14	0	1	0		0	0	0	
Falkland Islands (Malvinas)	0	0	0	0	0	0	0	0		0	0	6	
Faroe Islands	0	0	0	0	0	0	0	0		0	0	0	
Fiji	0	0	0	0	0	0	0	0		0	0	0	
Finland	61	0	2,527	186	0	0	0	0		7	19	137	
France	58,422	116,674	47,869	12,570	24,048	16,553	12,561	24,225		22,719	34,826	51,890	
French South Antarctic Territories	0	0	0	0	0	0	0	0		0	0	0	
Gabon	4	104	0	110	0	67	151	114		0	67	2	
Gambia	17	22	14	25	14	7	0	21		3	81	69	
Georgia	0	0	0	0	0	0	0	0		0	2	107	
Germany	9,442	13,748	24,880	15,912	18,428	4,236	2,929	7,774		3,917	3,550	9,609	
Ghana	3,461	1,048	4,884	9,367	10,782	10,520	3,176	1,554		1,374	4,685	3,542	
Gibraltar	0	0	0	0	0	0	0	0		0	0	0	
Greece	0	0	0	0	0	0	0	0		1,218	0	0	
Greenland	0	0	0	0	0	0	0	0		0	0	0	
Grenada	0	0	0	0	0	0	0	0		0	0	5	
Guatemala	372	0	0	0	0	0	0	0		0	0	83	
Guinea	4,639	7,630	11,528	5,572	3,529	10,185	11,324	11,787		5,640	21,869	13,678	
Guinea-Bissau	175	0	0	0	30	0	0	2		7	15	5	
Guyana	0	0	0	0	0	0	0	0		0	0	0	
Haiti	0	0	0	0	0	0	29	0		0	0	0	
Honduras	0	0	0	146	767	0	0	0		0	0	30	
Hong Kong, China	37	90	173	306	57	639	0	36		73	538	7,567	
Hungary	0	169	0	0	0	0	0	0		0	8	31	
Iceland	9	0	0	0	0	68	0	0		0	0	0	
India	8,209	11,368	12,520	11,700	2,388	1,063	3,526	9,899		943	5,774	20,753	
Indonesia	7,439	1,663	8,791	14,895	7,520	20,645	25,747	11,848		12,025	39,599	8,464	
Iran (Islamic Republic of)	0	3	0	0	1	5	0	74		0	0	0	
Iraq	0	0	0	0	0	0	0	0		0	0	0	
Ireland	158	840	137	224	382	1,822	1,106	672		2,330	740	8,992	
Israel	5	32	0	0	0	0	507	0		0	0	343	
Italy	9,700	13,145	13,325	20,066	12,825	5,694	6,922	5,110		120,034	6,273	15,051	
Jamaica	0	0	0	0	0	0	6	0		0	0	0	
Japan	405	421	649	1,480	2,150	1,772	1,804	6,846		1,731	1,963	7,878	
Jordan	0	0	0	0	0	0	0	0		0	56	0	
Kazakhstan	0	0	0	0	0	0	0	0		2	0	0	
Kenya	1	0	0	0	0	35	0	52		54	88	56	
Kiribati	0	0	0	0	0	0	0	0		0	0	0	
Korea, Democratic People's Republic of	5,283	1,882	0	0	32	5	0	4		0	6	87	
Korea, Republic of	24	311	12,501	4,059	538	168	144	749		14	100	90	
Kuwait	0	0	0	0	0	15	0	0		0	6	17	
Kyrgyzstan	0	0	0	0	0	0	0	0		0	0	0	
Lao People's Democratic Republic	0	0	0	0	0	0	0	0		0	0	0	
Latvia	104	101	0	20,125	65	248	25	0		0	0	0	
Lebanon	0	0	1	0	1	29	0	0		32	54	174	
Lesotho	0	4	0	0	0	0	0	0		0	0	0	
Liberia	0	0	0	4	0	187	273	64		59	1,180	1	
Libya	0	31	3	4	0	0	0	0		300	0	91	
Lithuania	0	0	0	0	0	46	0	36		0	0	598	
Macao, China	0	0	0	0	0	0	0	0		0	0	0	
Madagascar	3	0	0	92	0	0	0	1		0	0	107	
Malawi	0	0	0	0	0	0	0	0		0	0	10	
