List of importing markets for a product exported by Jamaica Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	1,223,126	1,104,075	1,194,471	1,405,494	1,514,467	1,988,808	2,223,961	2,438,810	1,316,037	1,327,602	1,622,860	1,711,790	
Afghanistan	0	0	0	0	0	0	0	0	0	0	1	82	
Albania	0	0	0	0	0	0	0	0	0	0	0	0	
Algeria	0	0	0	0	0	0	0	17	0	0	0	3	
America not elsewhere specified	0	0	0	583	0	0	0	0	0	0	0	0	
Andorra	0	0	0	0	0	0	0	0	0	0	0	0	
Anguilla	78	37	152	363	323	491	245	478	702	152	303	90	
Antigua and Barbuda	3,104	5,213	3,097	3,789	3,050	3,794	4,618	5,377	5,661	4,934	6,042	5,955	
Area Nes	206	0	3	0	0	5	0	112	91	0	0	19,049	
Argentina	593	0	0	3	17	0	18	40	10	17	0	0	
Armenia	0	0	0	0	0	0	0	0	0	0	0	0	
Aruba	166	154	613	379	686	1,559	1,050	1,949	1,280	1,498	2,019	1,931	
Australia	103	7	178	323	4,750	419	253	123	375	455	658	488	
Austria	55	264	54	68	63	42	102	44	87	148	83	150	
Azerbaijan	0	0	0	0	0	0	0	0	0	0	0	0	
Bahamas	3,038	2,327	2,014	1,867	1,510	1,813	2,151	2,645	3,082	3,332	2,120	21,815	
Bahrain	0	0	0	0	0	0	0	0	1	0	0	0	
Bangladesh	0	0	0	6	296	79	1,839	540	178	16	0	0	
Barbados	8,726	9,527	8,536	11,462	9,644	10,696	9,802	10,553	8,628	8,896	9,246	23,819	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	
Belgium	1,359	1,059	1,477	756	552	1,205	1,244	1,242	1,395	984	1,044	1,188	
Belize	3,216	3,833	3,559	3,490	3,077	3,781	3,021	3,291	3,552	6,055	3,187	3,438	
Benin	0	0	0	0	0	0	0	0	0	0	0	0	
Bermuda	971	953	3,818	676	898	925	1,380	1,624	1,086	2,240	1,255	2,371	
Bolivia	0	0	0	0	0	2	0	73	31	14	0	0	
Botswana	0	0	0	0	0	0	0	0	4	10	8	1	
Brazil	37	49	51	151	5,992	4	838	61	1,207	744	1,349	9,480	
British Virgin Islands	273	351	309	254	360	572	431	750	517	1,053	762	607	
Bulgaria	0	0	0	26	0	0	0	1	0	0	0	18,286	
Burkina Faso	0	0	0	0	0	0	0	0	0	0	10	0	
Cabo Verde	0	0	0	0	0	0	0	2	0	0	0	0	
Cambodia	0	0	0	0	0	0	0	0	0	0	0	0	
Cameroon	0	0	0	0	0	0	0	7	49	0	0	0	
Canada	191,117	156,864	192,411	273,520	293,855	309,440	333,304	258,993	131,629	163,437	263,658	121,583	
Cayman Islands	4,691	4,439	4,370	6,935	6,155	6,258	7,024	10,085	8,893	8,556	8,345	8,705	
Central African Republic	0	0	0	0	0	0	0	0	0	1	0	0	
Chile	680	842	32	34	59	1,403	97	6,950	837	125	272	592	
China	34,874	43,692	96,584	169,819	107,487	300,585	69,605	1,550	17,144	1,801	21,391	11,430	
Colombia	1,900	1,208	638	861	751	1,106	843	1,370	227	808	1,775	1,074	
Comoros	0	0	0	0	0	0	0	0	1	0	0	0	
Congo	0	0	0	0	0	0	0	0	0	0	0	0	
Costa Rica	86	237	393	83	201	92	165	226	546	726	1,376	198	
Côte d'Ivoire	0	0	0	0	0	0	0	0	0	0	0	0	
Croatia	0	0	0	0	0	0	1	16	11	1	0	0	
Cuba	766	3,327	2,366	2,023	1,413	4,880	6,118	7,925	3,837	2,943	4,535	6,745	
Cyprus	4	0	3	0	4	0	92	0	0	0	0	48	
Czech Republic	0	0	0	0	0	0	2	10	9	15	5	8	
Democratic Republic of the Congo	0	0	0	0	0	0	0	0	0	0	0	0	
Denmark	472	1,133	59	110	3	186	1,125	412	243	214	1,485	107	
Djibouti	0	0	0	0	0	0	0	46	0	0	0	0	
Dominica	1,665	1,287	5,066	2,400	2,256	2,360	1,985	1,525	2,265	2,677	2,621	2,741	
Dominican Republic	4,225	3,026	9,194	4,790	4,752	8,446	4,626	4,574	3,735	2,180	4,821	968	
Ecuador	273	208	222	200	399	192	148	101	14	121	75	83	
Egypt	0	0	0	0	0	0	0	40	95	0	85	32	
El Salvador	55	148	178	45	70	112	140	139	122	109	448	56	
Equatorial Guinea	0	0	0	0	0	0	2	0	0	0	0	0	
Estonia	0	0	0	21	0	0	17	0	0	0	0	0	
Ethiopia	0	0	0	0	0	3	3	0	0	0	0	0	
Europe Othr. Nes	0	0	0	0	0	0	0	0	0	0	0	0	
Faroe Islands	0	0	0	0	0	0	0	0	0	0	0	0	
Fiji	0	0	0	0	0	0	0	0	0	4	3	14	
Finland	64	9	91	7,713	68	5	13,246	34,575	194	74	12	24	
France	37,785	42,296	48,070	46,460	58,016	64,803	83,578	135,539	31,761	16,071	7,049	16,475	
Free Zones	13	19	0	44	49	0	0	0	0	93	3	0	
Gabon	0	0	0	0	0	0	0	0	0	0	0	0	
Gambia	0	0	0	0	0	0	0	0	0	0	0	0	
Georgia	0	0	0	0	0	19,894	38,625	3	12,000	7,995	9,106	36,204	
Germany	3,590	3,152	72,602	79,137	86,091	71,531	56,157	86,011	9,341	4,804	4,349	11,982	
Ghana	19,575	23,985	3,316	13	0	76	123	6,094	73	16	200	10,377	
Greece	50	0	0	2	0	0	0	4	11	136	104	83	
Grenada	1,478	1,428	1,698	1,386	1,933	1,623	1,674	2,010	2,553	2,115	2,089	2,283	
Guatemala	612	751	659	932	756	249	482	1,528	903	91	117	227	
Guinea	0	0	0	28	0	0	0	0	0	478	2	0	
Guyana	3,962	2,842	3,422	3,838	2,562	3,741	5,002	7,041	5,591	6,719	6,749	9,791	
Haiti	563	674	556	708	536	1,115	305	3,379	6,892	4,266	2,808	1,712	
Honduras	5,407	533	46	530	593	563	668	923	655	312	418	442	
Hong Kong, China	70	98	101	186	52	171	288	447	1,964	1,255	2,173	1,711	
Hungary	0	0	0	1	4	0	0	15	0	6	2	6	
Iceland	0	4,141	0	0	6,132	15,845	68,118	78,764	40,776	18,325	7,775	27,151	
India	3	36	244	3,533	3,480	443	796	1,468	232	610	1,001	777	
Indonesia	0	0	0	0	1	0	326	4,167	4,416	6,093	3,289	637	
Iran (Islamic Republic of)	0	0	0	5,092	0	0	0	0	0	0	0	0	
Iraq	0	0	0	0	0	0	0	0	0	0	0	9	
Ireland	0	128	0	0	117	167	813	463	1,447	1,890	1,734	1,272	
Israel	9	70	19	190	61	55	45	154	116	18	95	149	
Italy	745	924	1,017	454	508	499	409	470	251	995	1,172	37,886	
Jamaica	0	0	0	0	0	0	0	0	0	0	0	0	
Japan	27,845	28,649	25,192	34,838	15,542	28,720	28,122	23,917	37,326	15,761	13,691	10,625	
Jordan	0	0	0	0	6	0	0	0	0	0	0	16	
Kazakhstan	0	0	0	0	0	0	0	0	0	0	0	6	
Kenya	61	0	0	0	37	0	4	0	1	0	64	5	
Korea, Democratic People's Republic of	0	22	7	94	21	29	149	204	31	225	382	130	
Korea, Republic of	159	145	181	62	113	143	352	938	548	17,333	1,903	915	
Kuwait	0	0	0	0	0	0	0	0	0	0	0	0	
Kyrgyzstan	0	0	0	0	0	0	0	4	0	0	0	0	
Latvia	0	71	0	0	0	0	0	0	0	0	0	59,925	
Lebanon	41	0	0	0	0	0	0	0	2	260	22	38	
Lesotho	0	0	0	0	0	0	0	0	0	0	0	0	
Liberia	0	0	0	0	0	0	0	9	0	0	0	0	
Lithuania	0	0	0	0	0	0	0	0	0	0	0	0	
Luxembourg	0	0	0	0	0	0	0	0	1	0	0	0	
Macao, China	0	0	4	7	0	0	1	4	42	13	11	59	
Macedonia, The Former Yugoslav Republic of	0	0	0	0	0	0	0	0	0	0	0	0	
Madagascar	0	0	0	170	301	0	0	0	0	0	0	0	
Malawi	0	0	0	0	0	0	0	0	0	0	0	0	
Malaysia	0	0	0	1	1	0	5	61	0	50	145	125	
Maldives	0	0	0	0	0	0	0	0	0	2	0	0	
Mali	0	0	0	0	0	0	0	0	0	0	0	0	
Malta	0	0	0	0	8	0	0	0	0	0	0	0	
Mauritius	0	1	0	0	0	0	0	0	0	0	0	0	
Mexico	5,772	7,786	2,747	5,398	4,380	5,117	4,912	5,275	4,825	2,083	4,380	2,961	
Montenegro	0	0	0	0	0	0	0	0	0	0	0	869	
Montserrat	207	111	105	77	106	148	161	201	294	456	299	325	
Morocco	0	0	0	0	0	0	0	0	0	0	0	0	
Mozambique	0	0	0	0	0	0	0	0	790	10	0	0	
Myanmar	0	0	0	0	0	0	0	0	0	0	0	0	
Namibia	0	0	0	0	0	0	0	0	0	0	1	0	
Nepal	0	0	0	0	0	0	0	0	0	0	0	0	
Netherland Antilles	1,041	5,691	840	2,681	98,252	1,493	2,672	4,008	5,162	4,399	5,399	5,577	
Netherlands	135,974	135,186	62,624	117,052	34,396	138,849	201,105	191,583	35,391	68,269	91,352	70,610	
New Caledonia	0	0	0	0	0	0	0	0	0	0	3	0	
New Zealand	2,621	2,049	2,248	2,569	3,537	3,746	3,421	2,546	3,256	2,815	3,135	3,705	
Nicaragua	48	63	1,331	15	3	4	15	1	5	73	2	65	
Nigeria	0	139	6	13	14	1	10	110	28	45	2	1,559	
Northern Mariana Islands	0	0	0	0	0	0	0	0	0	0	870	0	
Norway	81,993	93,283	44,480	49,853	98,228	90,395	53,973	78,580	50,806	68,531	41,843	61	
Oman	0	0	0	0	0	0	0	0	0	29	0	0	
Pakistan	9	0	80	5	0	337	20	3,753	4	0	9	7	
Panama	646	906	1,692	7,468	986	1,105	2,144	2,062	3,494	2,276	2,824	1,511	
Papua New Guinea	0	0	0	0	0	0	0	12	0	0	0	0	
Paraguay	0	0	0	0	0	0	1	0	0	0	0	0	
Peru	692	782	567	661	641	703	676	958	1,034	1,089	1,495	2,030	
Philippines	7	5	14	12	16	24	9	47	69	1,874	455	247	
Poland	0	2	0	3,098	0	3	23	12	1	6	0	18,638	
Portugal	7,701	7,969	0	0	2	1	276	0	13,826	7	1	8	
Qatar	0	0	0	0	0	0	0	0	0	6	0	0	
Romania	0	6,927	15,622	0	0	0	13,313	48,890	11,371	1	2	2	
Russian Federation	18,108	8,596	18,354	3	21,653	24,699	75,904	127,484	4,623	37,297	10,734	59,225	
Rwanda	0	0	0	0	0	0	0	0	0	0	0	0	
Saint Kitts and Nevis	1,540	1,529	1,572	1,852	1,722	1,900	2,123	2,169	4,329	3,240	3,057	2,476	
Saint Lucia	2,395	3,618	3,560	3,295	3,904	3,770	3,608	4,721	6,121	5,500	6,135	6,827	
Saint Vincent and the Grenadines	1,805	1,334	1,372	1,167	1,209	1,312	2,019	2,349	2,475	2,759	2,392	2,225	
Samoa	0	0	0	0	0	1	0	5	1	0	0	0	
Saudi Arabia	95	0	0	0	0	0	0	0	0	0	89	18	
Senegal	0	0	0	0	0	0	0	0	0	0	0	0	
Serbia	0	0	0	0	0	0	0	0	0	0	0	0	
Serbia and Montenegro	0	0	11	0	0	0	0	0	0	0	0	0	
Seychelles	0	0	0	0	0	0	0	0	0	0	0	0	
Sierra Leone	8	0	0	0	0	46	0	0	0	0	0	0	
Singapore	131	127	166	250	122	268	2,404	4,200	1,797	4,729	4,408	848	
Slovakia	0	0	8,425	20,025	14,289	4,854	9	26	0	0	0	0	
Slovenia	0	0	0	17	20	0	0	0	6	26	51,548	71,362	
Somalia	0	0	0	0	0	0	0	0	0	0	0	0	
South Africa	173	114	39	0	39	47	60	0	242	50	17	13	
Spain	816	529	474	661	492	649	381	309	1,371	419	229	14	
Sri Lanka	0	0	0	0	0	0	0	0	0	8	6	14	
St. Pierre and Miquelon	0	0	0	0	0	0	0	9	0	0	0	0	
Sudan (North + South)	0	0	0	0	0	0	0	0	0	0	0	0	
Suriname	859	724	975	1,586	923	1,773	2,294	3,812	3,725	2,827	5,107	5,349	
Swaziland	0	0	0	0	0	0	0	0	0	0	0	0	
Sweden	14,211	21,908	20,970	31,380	6,155	278	8,332	812	734	275	228	39	
Switzerland	70	511	350	639	776	1,009	18,818	861	1,202	552	1,353	1,920	
Syrian Arab Republic	0	0	0	0	0	0	0	0	0	0	0	0	
Taipei, Chinese	8	84	144	14,652	2,302	6,550	8,838	2,266	649	891	1,009	517	
Tanzania, United Republic of	0	0	16	0	0	0	0	0	1	53	1	0	
Thailand	2	0	0	234	956	813	208	342	684	5,251	3,675	485	
Togo	0	0	0	0	0	0	0	0	0	0	0	0	
Tonga	0	0	0	0	0	0	0	0	1	0	0	0	
Trinidad and Tobago	21,555	17,258	17,828	17,583	16,657	18,090	20,083	22,893	21,187	19,129	21,046	18,254	
Tunisia	0	0	0	0	0	0	0	0	0	0	0	0	
Turkey	0	0	0	0	19	1	0	3	1	0	222	88	
Turkmenistan	0	0	0	0	0	0	0	0	0	0	0	0	
Turks and Caicos Islands	379	472	320	378	641	498	707	1,147	1,506	1,371	1,275	990	
Uganda	0	0	0	40	0	0	0	0	1	27	0	0	
Ukraine	0	158	0	0	0	0	0	6,321	0	13,543	0	0	
United Arab Emirates	44	33	29	18	26,711	36	15	729	720	13,884	1,675	69,158	
United Kingdom	154,539	122,488	153,015	149,554	162,340	204,667	215,994	225,311	129,641	83,903	111,644	44,891	
United States Minor Outlying Islands	0	0	0	10	20	0	23	26	0	0	65	0	
United States of America	403,627	313,014	341,703	302,571	387,127	605,295	827,816	983,153	649,095	659,125	839,308	823,450	
Uruguay	0	0	0	0	20	2	0	0	0	61	0	0	
Uzbekistan	0	0	0	0	0	0	0	0	0	0	0	0	
Vanuatu	0	0	0	0	0	0	0	0	0	0	0	0	
Venezuela	1,287	520	187	219	197	71	0	81	653	223	1	1,039	
Viet Nam	0	3	0	0	0	129	18	653	246	217	120	232	
Zambia	0	0	0	0	0	0	0	1	0	0	0	0	
Zimbabwe	0	0	0	0	0	0	0	0	0	0	0	0	
