List of importing markets for a product exported by Serbia Product: TOTAL All products
"Importers"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
Iran (Islamic Republic of)	9,848	8,358	16,050	38,602	28,859	32,297	48,437	32,860	13,898	
Iraq	14,485	2,773	4,766	82,855	195,412	46,874	53,874	37,824	16,847	
Ireland	1,060	3,702	6,265	15,075	6,561	8,227	11,505	6,434	8,544	
Israel	17,291	16,440	16,380	20,227	8,975	15,254	17,546	15,534	16,568	
Italy	652,992	926,047	1,094,269	1,128,468	821,336	1,118,513	1,306,232	1,201,058	2,381,774	
Jamaica	0	0	27	0	0	0	23	0	0	
Japan	906	1,143	1,205	2,089	1,013	1,554	2,336	4,196	6,746	
Jordan	1,907	1,155	9,581	6,263	1,860	1,555	4,115	12,395	8,641	
Kazakhstan	2,532	5,395	11,434	11,773	9,792	4,576	9,869	11,425	11,493	
Kenya	17	102	277	1,210	1,066	15,879	14,292	8,723	11,027	
Kiribati	0	0	0	1	0	0	0	2	0	
Korea, Democratic People's Republic of	2	1	0	1	0	6	31	0	0	
Korea, Republic of	200	688	274	374	736	902	1,351	2,181	536	
Kuwait	798	999	1,002	2,743	744	162	599	875	686	
Kyrgyzstan	0	60	86	98	81	0	19	32	595	
Lao People's Democratic Republic	4	7	4	0	0	0	0	0	25	
Latvia	13,626	4,608	14,469	6,790	4,655	3,838	4,870	4,333	3,249	
Lebanon	1,490	1,124	2,752	3,508	4,007	5,815	4,588	11,496	6,286	
Lesotho	73	0	0	0	0	0	0	0	0	
Liberia	0	14	340	0	0	28	0	2	1,074	
Libya	3,969	3,446	4,956	7,422	26,070	6,752	5,921	4,249	31,195	
Lithuania	5,697	17,509	7,328	16,480	17,369	36,838	33,078	25,798	22,611	
Luxembourg	268	446	430	1,900	1,213	789	1,433	2,243	2,929	
Macao, China	0	35	0	11	1	15	0	0	1	
Macedonia, The Former Yugoslav Republic of	260,576	300,267	437,076	492,988	429,149	476,817	524,651	482,101	567,798	
Madagascar	24	58	2	3	0	10	0	0	1	
Malawi	0	0	0	0	0	0	0	0	4	
Malaysia	16	168	1,346	3,500	107	95	90	2,425	1,459	
Maldives	18	0	144	0	0	0	13	0	15	
Mali	29	40	3	30	0	0	6	262	261	
Malta	3,021	786	323	1,130	1,599	458	612	1,557	806	
Marshall Islands	84	48	9	14	23	4	6	329	44	
Mauritania	0	0	2	0	0	125	25	38	1	
Mauritius	0	103	96	4	60	0	11	9	840	
Mexico	244	310	1,738	584	1,736	1,227	3,684	2,068	3,551	
Micronesia (Federated States of)	0	0	0	0	0	0	0	0	0	
Mongolia	6	97	207	274	118	281	401	296	826	
Montenegro	0	616,331	950,828	1,287,184	836,164	803,776	890,953	798,898	836,963	
Montserrat	0	5	0	0	0	0	0	0	0	
Morocco	2,596	2,280	4,871	4,252	245	214	281	1,588	1,531	
Mozambique	0	23	76	10	167	16	199	0	19	
Myanmar	6,412	9,182	1,455	13,558	224	0	81	3,624	10,795	
Namibia	126	161	53	359	198	269	80	104	321	
Nauru	0	0	0	0	0	0	0	0	0	
Nepal	5	102	4	4	0	8	0	1	7	
Netherland Antilles	11	57	68	1,131	1,072	95	134	124	5	
Netherlands	76,340	105,777	150,613	181,176	158,277	157,053	132,327	145,644	153,166	
New Caledonia	0	5	0	3	0	0	27	0	12	
New Zealand	23	741	254	204	99	454	450	332	404	
Nicaragua	0	0	0	0	0	0	0	0	0	
Niger	91	401	325	393	118	0	17	68	21	
Nigeria	829	2,878	1,260	1,574	1,731	990	1,178	7,087	3,082	
Niue	0	0	0	0	0	0	0	0	0	
Norway	2,594	7,542	10,238	19,914	7,523	7,040	9,008	13,081	29,171	
Oman	0	59	4	581	255	190	132	155	1,209	
Pakistan	180	89	1,415	1,058	5,036	1,191	435	407	650	
Palestine, State of	0	0	45	0	28	0	84	13	126	
Panama	88	170	335	57	160	540	40	195	649	
Papua New Guinea	0	2	0	0	0	0	0	0	0	
Paraguay	0	0	0	27	0	0	41	110	138	
Peru	77	32	785	906	345	4,546	104	1,904	757	
Philippines	117	706	283	1,765	480	1,218	3,103	5,340	4,542	
Pitcairn	0	0	0	0	0	0	0	0	0	
Poland	42,479	75,951	135,307	155,843	67,100	113,137	182,475	180,816	271,854	
Portugal	9,145	8,380	24,117	24,276	15,514	8,229	8,170	12,906	26,837	
Qatar	0	275	89	446	364	2,722	626	379	1,365	
Republic of Moldova	2,787	3,896	4,638	6,559	4,432	5,365	9,663	13,056	14,641	
Romania	130,070	176,712	265,193	397,821	482,308	650,721	812,529	935,882	785,200	
Russian Federation	225,252	311,081	450,590	550,963	349,425	534,747	792,310	867,057	1,061,605	
Rwanda	30	31	56	845	1,082	833	409	10	359	
Saint Helena	0	0	0	0	14	0	3	0	0	
Saint Kitts and Nevis	0	153	44	39	643	0	0	48	0	
Saint Lucia	0	0	0	0	0	0	0	0	0	
Saint Vincent and the Grenadines	0	0	0	0	0	0	0	0	0	
Samoa	0	0	0	0	0	0	0	0	0	
Sao Tome and Principe	43	92	0	0	0	0	0	0	0	
Saudi Arabia	3,662	1,986	7,857	10,117	3,343	1,426	1,325	4,835	4,259	
Senegal	0	0	40	657	342	15	187	61	681	
Seychelles	41	761	29	26	18	42	40	14	1,712	
Sierra Leone	555	402	191	84	510	366	28	1	29	
Singapore	252	552	550	399	253	1,987	4,879	8,437	36,019	
Slovakia	39,030	44,548	112,153	225,976	112,523	173,421	215,976	253,712	270,699	
Slovenia	188,801	253,385	408,986	501,989	343,820	425,897	526,119	428,847	479,327	
Solomon Islands	0	0	0	0	0	0	0	0	0	
Somalia	0	5	0	0	0	0	0	0	0	
South Africa	4,747	1,590	1,742	2,063	2,092	6,543	1,346	2,426	2,184	
Spain	59,117	64,373	62,010	59,104	60,106	66,845	77,143	86,115	100,988	
Sri Lanka	413	627	2,167	170	237	6	19	136	232	
Sudan (North + South)	0	225	6	24	503	1,082	1,861	1,275	198	
Suriname	0	178	179	1	107	0	138	142	102	
Swaziland	0	0	1	0	21	0	12	0	0	
Sweden	21,227	32,743	45,000	46,237	33,995	43,171	51,421	52,952	59,659	
Switzerland	37,504	43,729	61,813	94,353	83,928	61,484	82,784	92,366	104,100	
Syrian Arab Republic	11,940	8,992	10,833	9,998	8,360	15,448	12,173	2,111	0	
Taipei, Chinese	282	1,235	371	747	141	337	613	548	599	
Tajikistan	1	61	4,057	1,063	1	1,550	829	1,357	519	
Tanzania, United Republic of	4	106	191	106	1,004	472	55	70	1,728	
Thailand	566	135	200	2,028	7,468	5,177	5,678	5,890	5,090	
Timor-Leste	0	0	0	0	0	19	0	0	0	
Togo	105	243	29	11	0	22	21	4	0	
Tokelau	0	0	0	0	0	2	0	0	0	
Tonga	0	0	1	0	0	0	18	0	0	
Trinidad and Tobago	0	140	324	321	32	60	19	0	466	
Tunisia	1,161	636	3,577	4,152	3,624	2,149	3,249	9,106	3,827	
Turkey	50,316	38,763	58,519	45,338	45,123	87,988	183,179	187,010	219,746	
Turkmenistan	646	447	3,067	2,387	1,290	2,812	1,393	487	287	
Turks and Caicos Islands	50	89	14	2	9	0	0	0	0	
Tuvalu	0	0	0	2	0	0	0	0	0	
Uganda	45	34	269	1,404	1,809	1,293	805	366	103	
Ukraine	79,599	123,314	135,107	206,606	180,357	195,734	211,020	131,843	172,261	
United Arab Emirates	3,405	7,132	14,879	18,062	15,099	13,787	6,667	21,209	13,876	
United Kingdom	84,017	117,310	150,074	152,328	107,335	155,406	185,215	144,117	170,967	
United States Minor Outlying Islands	0	0	0	0	0	0	0	0	0	
United States of America	59,007	71,200	80,435	65,226	68,820	69,888	79,500	98,556	491,664	
Uruguay	91	61	4	41	42	393	1,001	1,074	1,248	
Uzbekistan	712	1,061	2,243	2,344	2,319	1,494	2,655	1,224	1,935	
Vanuatu	0	0	9	0	0	0	0	0	0	
Venezuela	213	52	46	69	4	30	0	170	278	
Viet Nam	4	196	1,660	322	3,472	3,668	6,311	6,961	9,127	
Yemen	139	0	136	160	575	94	131	62	320	
Zambia	5	2	25	34	5	0	1	55	11	
Zimbabwe	0	1,292	0	0	38	28	1	34	54	
