List of importing markets for a product exported by Bolivia Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	1,352,891	1,371,649	1,650,673	2,254,330	2,797,417	4,223,298	4,812,702	6,899,336	5,296,740	6,965,357	9,144,424	11,793,372	
Afghanistan	0	0	0	0	0	0	0	0	160	0	0	0	
Albania	3	0	0	1	0	31	0	0	254	3	70	0	
Algeria	19	16	0	0	808	213	76	23	0	0	6,152	0	
Andorra	0	1	0	206	2	1	1	1	0	14	0	0	
Angola	0	46	0	10	34	11	0	0	77	80	50	0	
Anguilla	18	0	0	0	0	0	0	0	0	0	0	0	
Antigua and Barbuda	0	0	0	4	0	0	0	0	0	0	0	0	
Area Nes	10,507	8,523	8,716	6,239	8,278	12,552	2,870	1,429	260	336	931	333	
Argentina	67,661	27,889	56,541	131,708	264,392	391,247	420,760	492,826	431,785	553,745	1,059,058	2,109,386	
Armenia	0	0	0	0	0	0	0	0	0	0	0	0	
Aruba	6	0	6	51	11	16,501	0	2	0	1	2	1	
Australia	920	1,122	2,765	1,910	2,905	4,569	3,760	6,480	36,067	67,493	124,908	113,176	
Austria	463	1,099	2,252	2,057	3,367	8,110	6,947	7,774	2,074	5,245	3,934	4,302	
Azerbaijan	0	0	0	0	0	0	0	10	0	0	0	0	
Bahamas	57	89	52	40	18	32	93	93	59	33	46	71	
Bahrain	0	0	0	0	6	0	16	0	0	0	0	0	
Bangladesh	0	0	8	0	1	51	3	30	494	120	0	0	
Barbados	1	0	0	14	12	24	491	0	93	54	30	25	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	
Belgium	14,075	8,799	15,841	32,720	22,408	60,687	128,293	156,369	188,570	384,507	377,682	334,590	
Belize	0	1	8	6	15	2	7	3	14	12	7	6	
Benin	0	0	9	0	4	8	0	0	83	162	112	64	
Bermuda	0	0	0	0	0	29	0	0	0	25	32	0	
Bhutan	0	59	0	0	0	0	0	0	0	0	0	0	
Bolivia	0	0	0	0	0	0	0	0	0	0	0	0	
Bosnia and Herzegovina	0	0	36	0	0	0	0	0	0	0	0	0	
Botswana	0	0	0	0	0	467	0	0	0	0	0	0	
Brazil	299,954	332,952	495,859	713,780	1,016,470	1,592,048	1,765,671	3,023,067	1,666,939	2,407,389	3,030,094	3,665,306	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	0	0	0	
British Virgin Islands	0	0	0	0	0	0	0	75	94	119	86	23	
Brunei Darussalam	0	0	0	1	0	0	0	0	0	0	0	0	
Bulgaria	12	0	0	3	0	0	4	0	321	0	8,549	318	
Burkina Faso	0	0	0	1	0	0	0	0	0	0	0	0	
Burundi	0	0	0	0	0	0	0	0	0	0	0	0	
Cabo Verde	0	0	0	0	0	0	0	0	0	0	0	7	
Cambodia	0	1	5	0	0	0	0	0	0	0	0	0	
Cameroon	8	0	3	1	0	0	0	0	0	23	0	0	
Canada	20,252	7,833	6,105	13,290	19,683	49,522	104,778	87,297	69,903	88,373	194,150	152,313	
Cayman Islands	0	0	0	0	0	0	1	0	0	0	0	0	
Central African Republic	0	0	0	0	0	0	5	0	0	0	21	0	
Chad	0	0	14	0	0	3	0	0	0	0	0	0	
Chile	30,457	32,723	43,714	51,211	40,819	68,144	55,054	77,438	74,146	85,630	149,787	224,003	
China	5,070	7,717	11,548	23,499	19,728	35,505	55,972	129,381	130,589	208,636	336,615	314,422	
Christmas Islands	0	0	0	0	0	0	0	0	0	0	0	0	
Cocos (Keeling) Islands	0	0	0	0	0	1	4	1	0	0	0	0	
Colombia	191,966	139,549	170,356	119,740	178,535	155,832	154,479	208,850	277,025	229,620	259,301	414,617	
Congo	0	0	7	66	113	0	0	0	53	10	0	0	
Cook Islands	0	0	0	0	0	0	0	0	0	0	0	0	
