List of importing markets for a product exported by Côte d'Ivoire Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	3,649,816	4,971,884	5,326,973	6,578,856	7,247,936	8,147,736	8,067,713	9,778,784	10,280,077	10,283,509	11,049,063	10,860,995	
Afghanistan	0	41	0	0	0	13	0	116	0	66	0	0	
Africa not elsewhere specified	0	0	0	0	0	0	0	0	0	0	0	0	
Albania	0	0	0	0	0	0	22	40	108	130	106	173	
Algeria	19,500	29,689	40,590	52,478	42,453	62,235	117,474	103,305	97,337	92,376	36,616	112,966	
America not elsewhere specified	4,065	0	0	5,720	5,875	1,841	357	244	0	0	0	0	
Andorra	0	0	0	23	0	0	0	0	0	0	0	0	
Angola	60,871	30,003	22,601	14,916	8,692	10,530	14,560	14,204	40,654	24,474	41,149	81,338	
Antigua and Barbuda	1,669	599	391	1,945	3,884	1,704	1,474	2,436	0	0	1	152	
Area Nes	29	401	3,904	415	7,794	12,374	36,867	53,238	145,455	449,056	57,604	114,184	
Argentina	695	874	11,736	540	1,394	1,694	2,065	2,562	1,205	2,331	2,587	1,980	
Armenia	0	0	0	0	0	0	0	0	0	0	3	0	
Aruba	0	0	0	0	0	0	0	0	0	0	0	0	
Australia	7,396	10,519	14,274	12,507	8,089	7,178	8,582	9,967	14,665	14,317	8,191	7,354	
Austria	45	181	44	70	86	70	84	198	76	53	59	45	
Azerbaijan	0	0	0	0	0	0	5	0	0	1	0	0	
Bahamas	568	431	801	1,200	3,710	1,467	3,138	590	17	41	18,684	226	
Bahrain	3,141	542	13	1	438	112	903	216	1,833	439	710	504	
Bangladesh	2,423	4,992	5,353	9,366	4,363	7,401	4,377	2,491	11,692	7,563	695	11,630	
Barbados	13	44	7	0	19	0	0	59	0	50	94	102	
Belarus	0	0	0	0	0	0	0	0	6	0	5,519	4,375	
Belgium	79,969	128,866	147,350	218,562	163,065	225,593	179,537	204,576	238,551	5,120	361,467	432,430	
Belize	1,431	653	842	751	1,878	979	626	699	551	247	66	110	
Benin	30,810	41,698	74,368	82,263	148,958	110,404	106,091	104,175	96,941	110,609	97,422	137,521	
Bermuda	28	13	0	0	0	134	175	418	294	10	0	0	
Bhutan	0	0	0	0	0	0	0	0	0	0	0	0	
Bolivia	154	144	64	10	0	0	0	539	0	0	0	0	
Bosnia and Herzegovina	0	0	0	0	0	0	0	0	0	0	0	0	
Botswana	26	16	0	0	0	0	0	8	5	0	0	0	
Brazil	12,767	19,862	31,879	14,717	23,459	26,453	66,555	89,487	77,697	56,836	130,901	126,582	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	190	250	0	
British Virgin Islands	0	4,700	0	0	0	0	0	0	0	0	10	0	
Brunei Darussalam	0	0	0	0	0	0	1	0	0	0	0	0	
Bulgaria	891	126	127	8	869	2,235	2,533	3,810	2,895	4,644	3,654	2,811	
Burkina Faso	122,918	146,594	112,934	192,070	231,003	297,060	340,265	412,023	381,411	360,393	343,931	380,120	
Burundi	245	3	1	11	104	95	140	208	387	20	209	252	
