List of importing markets for a product exported by Antigua and Barbuda Product: TOTAL All products
"Importers"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	120,636		98,628		205,702	34,828	29,028	29,006	33,067	
Afghanistan	0		0		0	0	0	0	0	
Albania	0		2		0	0	0	0	0	
Andorra	0		0		0	0	0	0	0	
Anguilla	8,476		2,795		4,782	117	59	18	399	
Area Nes	0		0		3,525	691	847	2,094	2,354	
Argentina	0		0		344	0	20	0	0	
Armenia	0		0		0	0	0	0	0	
Aruba	1		12		18	21	2	0	0	
Australia	3		313		149	4	24	13	2	
Austria	0		1		0	0	0	6	1	
Bahamas	25		3		65	52	5	0	39	
Bangladesh	0		82		0	0	0	0	0	
Barbados	260		8,123		5,618	1,090	2,158	2,750	332	
Belarus	0		0		0	0	0	0	0	
Belgium	0		141		3	0	0	0	0	
Belize	9		0		5	1	0	1	6	
Benin	0		0		0	0	0	0	0	
Bermuda	25		5		72	0	2	0	0	
Bolivia	0		0		0	0	0	0	0	
Bosnia and Herzegovina	0		0		0	0	0	0	0	
Botswana	0		0		0	0	0	0	0	
Brazil	54		22		385	50	20	16	0	
British Indian Ocean Territories	0		0		0	0	0	0	0	
British Virgin Islands	8,060		482		13,345	639	460	371	970	
Bulgaria	0		0		0	0	0	0	0	
Burundi	0		0		0	0	0	0	0	
Cabo Verde	0		121		20	0	0	0	0	
Cambodia	0		0		0	0	0	0	0	
Cameroon	0		0		0	0	0	0	0	
Canada	348		93		188	769	503	491	190	
Cayman Islands	1		10		0	2	0	0	3	
Central African Republic	0		0		0	0	0	0	0	
Chad	0		0		0	0	0	0	0	
Chile	0		0		6	0	0	0	0	
China	4		124		101	92	46	92	110	
Colombia	0		0		5	10	0	10	30	
Comoros	1		0		0	0	0	0	0	
Cook Islands	0		0		0	0	0	0	0	
Costa Rica	60		0		0	15	52	0	0	
Côte d'Ivoire	0		0		0	0	0	0	0	
Croatia	0		0		0	0	0	0	0	
Cuba	3		123		59	53	25	10	7	
Cyprus	1		0		106	0	0	0	0	
Czech Republic	0		0		0	0	0	0	0	
Democratic Republic of the Congo	0		0		0	0	0	0	0	
Denmark	4		10		2	54	10	0	3	
Dominica	4,628		6,014		5,449	1,842	802	291	626	
Dominican Republic	7		113		518	30	69	1,443	88	
Ecuador	0		0		0	17	0	0	0	
Egypt	0		0		0	0	0	0	0	
El Salvador	0		0		0	5	0	0	0	
Estonia	0		0		0	0	0	0	0	
Faroe Islands	0		0		0	0	0	0	0	
Fiji	0		0		0	0	0	0	0	
Finland	0		604		31	1	23	0	0	
France	2,659		3,060		712	476	890	993	909	
French Polynesia	0		0		0	0	1	0	424	
French South Antarctic Territories	0		0		0	0	0	0	0	
Gabon	0		0		0	0	0	0	0	
Georgia	0		0		0	0	0	0	0	
Germany	93		1,179		8	29	138	99	58	
