List of importing markets for a product exported by Dominica Product: TOTAL All products
"Importers"	"Exported value in 2001"	"Exported value in 2002"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	
World	43,396	41,902	39,306	41,309	41,783	41,473	36,833	39,994	33,486	34,116	31,508	37,013	
Afghanistan	0	0	0	0	0	0	0	0	0	0	0	0	
Albania	0	0	0	0	0	0	0	0	0	0	0	0	
Andorra	0	0	0	0	0	0	0	0	0	0	0	0	
Angola	0	0	0	0	0	0	0	0	0	0	0	0	
Anguilla	46	13	84	157	202	289	644	734	387	243	58	133	
Antigua and Barbuda	3,633	3,530	4,014	4,155	4,709	5,358	5,696	6,072	6,314	3,094	2,272	2,047	
Area Nes	1,090	1,082	773	1,742	2,794	1,281	1,840	1,632	2,048	1,283	575	1,646	
Argentina	0	0	0	0	0	0	0	0	0	0	0	0	
Aruba	0	0	0	47	0	0	0	0	0	41	39	38	
Australia	155	0	0	0	0	0	0	0	0	0	22	0	
Austria	0	0	0	0	0	0	0	0	0	0	0	0	
Bahamas	44	112	68	83	150	80	139	136	111	137	52	92	
Bahrain	0	0	0	0	0	0	0	0	0	0	0	0	
Bangladesh	9	0	0	0	0	0	0	0	0	0	0	0	
Barbados	2,032	1,802	2,045	1,861	1,741	2,985	1,323	1,085	833	971	2,476	2,315	
Belarus	0	0	0	0	0	0	0	0	0	0	0	0	
Belgium	0	0	0	0	0	0	0	2	4	0	0	0	
Belize	0	0	408	766	458	550	142	69	68	24	2	79	
Bermuda	25	41	46	32	45	56	24	9	0	0	0	0	
Bosnia and Herzegovina	0	0	0	0	0	0	0	0	0	0	0	0	
Bouvet Island	0	0	0	0	0	0	0	0	0	0	0	0	
Brazil	16	5	0	0	0	1	0	0	0	1	20	4	
British Indian Ocean Territories	0	0	0	0	0	0	0	0	0	0	0	1	
British Virgin Islands	300	216	244	251	277	449	461	481	497	339	123	200	
Bulgaria	0	0	0	0	0	0	0	0	0	0	0	0	
Cabo Verde	0	667	0	0	0	0	0	0	0	0	0	0	
Cameroon	0	0	0	0	0	0	0	0	0	0	0	0	
Canada	178	73	84	35	76	25	30	57	91	0	126	14	
Cayman Islands	0	10	0	0	0	0	0	0	0	0	0	1	
Central African Republic	0	0	0	0	0	0	0	0	0	0	0	0	
Chad	0	0	0	0	0	0	0	0	0	0	0	0	
Chile	0	0	0	0	0	0	0	0	0	0	0	0	
China	0	0	0	1	0	39	1	0	1	11	0	20	
Cocos (Keeling) Islands	0	0	0	0	0	0	0	0	0	0	0	0	
Colombia	0	0	0	0	0	0	0	159	0	0	284	8	
Costa Rica	4	0	0	8	1	1	0	0	0	4	0	7	
Côte d'Ivoire	0	0	0	0	0	0	0	0	0	0	0	0	
Cuba	0	0	0	0	0	0	0	0	0	0	25	0	
Cyprus	0	0	0	0	0	0	0	0	0	0	0	0	
Czech Republic	0	0	0	0	0	0	0	0	0	0	0	0	
Denmark	0	0	0	0	0	0	0	0	0	71	0	0	
Dominican Republic	49	44	51	43	8	0	18	0	0	19	0	0	
Ecuador	0	0	0	0	0	0	0	0	0	0	0	0	
Egypt	0	0	0	0	0	0	0	0	0	0	0	0	
El Salvador	6	0	0	0	0	0	0	0	0	0	0	0	
Estonia	0	0	0	0	0	0	0	0	0	0	0	0	
Finland	0	0	0	0	0	0	0	0	0	0	0	0	
France	3,251	2,801	3,577	3,954	4,514	3,445	3,569	5,498	5,317	3,854	2,500	3,245	
Free Zones	41	0	0	0	0	0	0	0	0	0	0	0	
French South Antarctic Territories	0	0	0	0	0	0	0	0	0	0	1	0	
Gabon	0	0	0	0	0	0	0	0	0	0	1	2	
Gambia	0	0	0	0	0	0	0	0	0	0	0	0	
Germany	0	2	0	1	196	5	21	7	8	6	0	437	
Greece	0	0	0	0	0	0	0	0	0	0	0	0	
Grenada	308	311	268	278	355	305	236	801	222	190	174	197	
Guatemala	11	0	0	0	0	0	0	0	0	5	103	7	
Guinea	0	0	0	0	3	0	0	0	0	0	0	0	
Guyana	3,074	2,868	3,284	2,554	2,620	2,874	1,801	2,062	1,360	1,965	2,754	3,523	
Haiti	87	38	0	55	68	62	37	188	0	0	176	447	
Honduras	0	0	0	0	0	0	0	0	0	0	0	0	
Hong Kong, China	0	0	0	0	5	15	0	0	0	0	0	4	
Hungary	0	0	0	0	0	0	0	0	0	0	0	0	
Iceland	0	0	0	0	0	0	0	0	0	0	0	0	
India	1	0	0	0	0	0	0	0	0	0	0	0	
Indonesia	0	0	0	0	0	0	6	0	0	0	11	0	
Iran (Islamic Republic of)	0	0	0	0	0	0	0	0	0	0	0	0	
Ireland	0	0	0	0	0	0	0	0	0	0	0	0	
Israel	0	0	0	0	0	0	0	0	0	0	0	0	
Italy	0	0	0	0	0	0	0	0	0	0	0	2	
Jamaica	10,117	8,979	8,975	8,346	5,311	6,278	7,374	6,515	4,638	5,895	5,515	6,007	
Japan	27	0	16	81	1	0	1	0	15	0	20	0	
Jordan	0	0	0	0	0	0	0	0	0	0	0	0	
Kenya	0	0	0	0	0	0	0	0	0	0	0	0	
Korea, Democratic People's Republic of	0	0	0	0	0	0	0	0	0	0	0	0	
Korea, Republic of	0	0	0	0	0	14	0	0	2	0	14	21	
Lesotho	0	0	0	0	0	0	0	0	0	0	0	0	
Liberia	0	0	0	0	0	0	0	0	0	0	0	0	
Lithuania	0	0	0	0	0	0	0	0	0	0	0	0	
Luxembourg	0	0	0	0	0	0	0	0	0	0	0	0	
Madagascar	0	0	0	0	0	0	0	0	0	0	0	0	
Malaysia	0	0	0	0	0	0	0	0	0	0	0	0	
Mali	0	0	0	0	0	0	0	0	0	0	0	0	
Mexico	1	0	0	0	0	5	0	0	0	0	0	0	
Montserrat	272	253	260	296	318	201	214	279	298	189	28	70	
Morocco	0	0	0	0	0	0	0	0	0	0	0	0	
Mozambique	0	0	0	0	0	0	0	0	0	0	0	0	
Namibia	0	0	0	0	0	0	0	0	0	0	0	0	
Netherland Antilles	26	43	15	10	0	18	50	65	22	53	83	22	
Netherlands	0	5	6	0	0	0	9	2	19	83	15	26	
New Zealand	0	0	0	0	0	0	0	0	0	0	0	0	
Nigeria	0	0	0	0	0	0	0	0	0	0	0	0	
Norway	0	0	0	0	0	0	0	0	0	3	0	0	
Oman	0	0	0	0	0	0	0	0	0	0	0	0	
Pakistan	0	0	0	0	0	0	0	0	0	0	0	17	
Panama	0	0	1	0	0	0	0	0	0	0	16	6	
Peru	0	0	0	0	0	0	0	0	0	0	0	0	
Philippines	0	0	0	0	0	0	0	0	0	0	0	0	
Poland	0	0	0	0	0	0	0	0	0	0	0	0	
Portugal	0	0	0	0	0	0	0	0	0	0	0	0	
Qatar	0	0	0	0	0	0	0	0	0	0	0	0	
Romania	0	0	0	0	0	0	0	0	0	0	0	0	
Russian Federation	0	0	0	0	0	0	0	0	0	0	0	0	
Saint Kitts and Nevis	1,412	1,407	1,344	1,248	1,056	1,140	1,564	1,768	2,514	6,041	4,677	5,309	
Saint Lucia	1,658	1,187	1,333	1,640	2,859	1,800	1,222	920	992	859	774	946	
Saint Vincent and the Grenadines	580	579	479	420	649	537	534	963	308	418	400	421	
Sao Tome and Principe	0	6	0	0	0	0	0	0	0	0	0	0	
Saudi Arabia	0	0	0	0	0	0	0	0	0	0	0	0	
Senegal	0	0	0	0	0	0	0	0	0	0	0	0	
Serbia and Montenegro	0	0	0	0	0	0	0	0	0	0	0	0	
Seychelles	0	0	0	0	0	0	0	0	0	0	0	0	
Sierra Leone	0	0	0	0	0	0	0	0	0	0	0	0	
Singapore	0	0	0	0	0	0	0	0	0	0	0	0	
Slovakia	0	0	0	0	0	0	0	0	0	0	0	0	
Somalia	0	0	0	0	0	0	0	0	0	0	0	0	
South Africa	0	0	0	0	4	0	0	0	0	5	0	0	
Spain	0	0	0	0	0	0	0	0	0	0	0	0	
Sri Lanka	0	0	0	0	0	0	0	0	0	0	0	0	
Sudan (North + South)	0	0	0	0	0	0	0	0	0	0	0	0	
Suriname	513	564	644	747	842	983	569	471	381	490	645	655	
Swaziland	0	0	0	0	0	0	0	0	0	0	0	0	
Sweden	0	0	0	0	0	0	0	0	0	0	0	0	
Switzerland	0	0	0	0	0	0	0	0	0	0	0	0	
Syrian Arab Republic	0	0	0	0	0	0	0	0	0	0	0	0	
Taipei, Chinese	3	0	0	0	0	1	0	0	0	3	0	0	
Tanzania, United Republic of	0	0	0	0	0	0	0	0	0	0	0	0	
Thailand	0	0	0	0	0	2	0	0	0	0	0	83	
Timor-Leste	0	0	0	0	0	0	0	0	0	0	0	0	
Tokelau	0	0	0	0	0	0	0	0	0	0	0	0	
Trinidad and Tobago	2,494	1,943	2,565	3,072	3,745	3,138	3,003	3,515	2,296	4,744	5,380	6,942	
Tunisia	0	0	0	0	0	0	0	0	0	0	0	0	
Turkey	0	0	0	0	0	2	0	0	0	0	0	0	
Turks and Caicos Islands	0	0	9	0	0	0	0	21	0	0	1	1	
Uganda	0	0	0	0	0	0	0	0	0	0	0	0	
Ukraine	0	0	0	0	0	0	0	0	0	0	3	0	
United Arab Emirates	0	0	0	0	0	0	0	0	0	6	0	10	
United Kingdom	9,172	9,463	6,222	7,428	6,889	7,653	5,187	5,326	3,777	1,702	466	340	
United States Minor Outlying Islands	0	0	0	0	0	0	0	0	0	15	103	0	
United States of America	2,689	3,857	2,493	1,877	1,875	1,882	1,118	1,155	943	1,337	1,547	1,558	
Uruguay	0	0	0	0	0	0	0	0	0	0	0	0	
Venezuela	75	2	0	122	10	0	0	0	22	14	26	0	
Viet Nam	0	0	0	0	0	0	0	0	0	0	0	108	
Zimbabwe	0	0	0	0	0	0	0	0	0	0	0	0	
