List of importing markets for a product exported by Bosnia and Herzegovina Product: TOTAL All products
"Importers"	"Exported value in 2003"	"Exported value in 2004"	"Exported value in 2005"	"Exported value in 2006"	"Exported value in 2007"	"Exported value in 2008"	"Exported value in 2009"	"Exported value in 2010"	"Exported value in 2011"	"Exported value in 2012"	"Exported value in 2013"	
World	1,400,284	1,912,379	2,388,483	3,427,782	4,151,965	5,021,083	3,953,920	4,803,107	5,850,079	5,161,809	5,687,314	
Afghanistan	559	16	58	78	153	151	254	1,166	1,597	1,967	511	
Albania	1,207	2,879	5,105	7,135	10,471	12,098	8,726	28,911	49,555	32,467	29,939	
Algeria	32	249	6,718	754	6,072	12,342	6,343	8,448	1,836	3,271	4,656	
Andorra	15	0	23	5	199	61	10	0	8	0	28	
Angola	0	3	0	49	0	480	31	0	106	0	74	
Anguilla	0	0	0	0	0	0	0	5	0	0	13	
Antigua and Barbuda	0	0	0	0	0	0	0	0	0	0	0	
Area Nes	468,211	298,392	1,188	5,257	3,745	6,184	125,411	179,779	246,223	270,276	284,291	
Argentina	398	360	463	215	221	350	217	14	131	426	338	
Armenia	37	134	392	1	10	0	0	0	84	0	0	
Aruba	0	0	0	1	2	0	0	2	0	0	0	
Australia	205	488	521	933	888	1,032	879	1,051	1,203	1,245	1,313	
Austria	40,821	73,612	103,181	208,288	258,485	310,560	232,318	318,540	440,266	430,079	465,271	
Azerbaijan	0	0	0	102	102	29	556	403	517	370	626	
Bahamas	0	0	55	0	4	5	12	5	0	0	0	
Bahrain	71	98	18	14	54	171	23	23	74	161	29	
Bangladesh	0	0	0	0	14	27	0	2,315	41	14,660	5,007	
Barbados	0	0	0	0	0	0	0	35	0	0	0	
Belarus	0	4	0	3	27	19	10	113	5	0	28	
Belgium	2,390	5,340	11,963	34,864	26,130	31,064	23,997	39,515	23,658	22,139	23,806	
Belize	0	0	0	0	0	0	0	0	0	0	7	
Benin	0	0	0	0	0	0	2	0	0	0	0	
